image_file,image_file,image_file.1,250129,s250062,s250200
0,0,5.0-5.png,4.0,4.0,3.0
1,1,4.5-7.png,2.0,3.0,4.0
2,2,1.5-5.png,2.0,2.0,4.0
3,3,4.5-3.png,2.0,3.0,5.0
4,4,5.0-4.png,3.0,2.0,4.0
5,5,3.0-6.png,3.0,3.0,4.0
6,6,5.0-9.png,3.0,2.0,2.0
7,7,0.5-9.png,1.0,1.0,4.0
8,8,3.5-9.png,1.0,3.0,4.0
9,9,2.5-9.png,1.0,3.0,4.0
10,10,5.5-10.png,3.0,2.0,4.0
11,11,4.0-2.png,2.0,3.0,4.0
12,12,1.0-9.png,1.0,3.0,3.0
13,13,2.5-7.png,2.0,2.0,3.0
14,14,3.0-5.png,2.0,3.0,2.0
15,15,1.0-4.png,1.0,2.0,4.0
16,16,5.0-10.png,3.0,4.0,4.0
17,17,1.5-8.png,1.0,3.0,1.0
18,18,1.5-2.png,1.0,4.0,4.0
19,19,4.0-9.png,3.0,3.0,4.0
20,20,4.0-3.png,4.0,3.0,2.0
21,21,5.0-3.png,4.0,3.0,3.0
22,22,2.0-2.png,3.0,2.0,3.0
23,23,1.5-3.png,2.0,1.0,3.0
24,24,4.0-7.png,5.0,1.0,3.0
25,25,2.0-5.png,2.0,4.0,4.0
26,26,5.0-8.png,4.0,2.0,2.0
27,27,1.0-10.png,1.0,2.0,3.0
28,28,1.0-6.png,1.0,3.0,3.0
29,29,5.5-2.png,2.0,4.0,2.0
30,30,1.0-1.png,1.0,3.0,3.0
31,31,3.5-10.png,3.0,2.0,2.0
32,32,2.0-4.png,3.0,4.0,3.0
33,33,1.5-9.png,2.0,4.0,4.0
34,34,3.0-7.png,2.0,5.0,5.0
35,35,2.0-3.png,3.0,5.0,4.0
36,36,1.0-8.png,1.0,3.0,4.0
37,37,3.0-8.png,5.0,1.0,4.0
38,38,5.0-7.png,5.0,4.0,4.0
39,39,0.5-5.png,1.0,3.0,4.0
40,40,3.5-8.png,4.0,3.0,4.0
41,41,3.0-2.png,3.0,2.0,3.0
42,42,5.0-6.png,5.0,5.0,2.0
43,43,3.5-2.png,5.0,4.0,3.0
44,44,3.5-4.png,5.0,4.0,4.0
45,45,2.0-10.png,4.0,1.0,4.0
46,46,5.5-4.png,4.0,4.0,3.0
47,47,4.5-1.png,5.0,2.0,3.0
48,48,3.5-6.png,5.0,3.0,3.0
49,49,3.5-5.png,5.0,2.0,3.0
50,50,5.5-8.png,3.0,3.0,3.0
51,51,5.0-2.png,4.0,2.0,3.0
52,52,0.5-2.png,1.0,3.0,2.0
53,53,1.0-2.png,1.0,4.0,2.0
54,54,5.5-6.png,3.0,3.0,2.0
55,55,2.5-6.png,3.0,2.0,2.0
56,56,1.0-7.png,1.0,1.0,3.0
57,57,4.0-8.png,3.0,1.0,3.0
58,58,1.0-3.png,1.0,2.0,3.0
59,59,3.5-7.png,4.0,2.0,4.0
60,60,4.5-2.png,5.0,2.0,2.0
61,61,3.0-4.png,2.0,2.0,3.0
62,62,2.5-1.png,3.0,2.0,4.0
63,63,0.5-6.png,1.0,2.0,2.0
64,64,0.5-3.png,1.0,2.0,3.0
65,65,3.0-1.png,3.0,1.0,1.0
66,66,0.5-7.png,1.0,4.0,1.0
67,67,5.5-7.png,4.0,5.0,4.0
68,68,5.0-1.png,3.0,4.0,2.0
69,69,0.5-4.png,1.0,3.0,3.0
70,70,4.0-10.png,4.0,3.0,3.0
71,71,2.0-8.png,4.0,1.0,3.0
72,72,1.0-5.png,1.0,2.0,4.0
73,73,4.5-4.png,5.0,4.0,5.0
74,74,5.5-9.png,5.0,2.0,4.0
75,75,5.5-3.png,5.0,3.0,2.0
76,76,4.5-10.png,4.0,3.0,4.0
77,77,3.5-3.png,5.0,4.0,4.0
78,78,0.5-8.png,1.0,3.0,2.0
79,79,2.5-4.png,1.0,4.0,3.0
80,80,1.5-1.png,1.0,2.0,3.0
81,81,4.5-5.png,4.0,2.0,3.0
82,82,1.5-7.png,4.0,3.0,3.0
83,83,5.5-5.png,4.0,4.0,3.0
84,84,2.0-7.png,3.0,4.0,3.0
85,85,2.0-6.png,4.0,3.0,5.0
86,86,0.5-10.png,2.0,2.0,4.0
87,87,1.5-10.png,2.0,1.0,5.0
88,88,2.5-2.png,2.0,1.0,1.0
89,89,2.5-3.png,5.0,1.0,3.0
90,90,1.5-6.png,2.0,3.0,4.0
91,91,3.0-10.png,3.0,4.0,2.0
92,92,4.0-4.png,2.0,4.0,3.0
93,93,4.5-9.png,4.0,4.0,3.0
94,94,4.0-5.png,5.0,5.0,4.0
95,95,3.0-3.png,3.0,5.0,5.0
96,96,4.0-6.png,4.0,1.0,4.0
97,97,2.0-1.png,5.0,4.0,4.0
98,98,2.5-10.png,5.0,2.0,3.0
99,99,1.5-4.png,2.0,2.0,4.0
100,100,4.0-1.png,3.0,4.0,1.0
101,101,5.5-1.png,3.0,4.0,2.0
102,102,3.5-1.png,3.0,4.0,3.0
103,103,4.5-6.png,2.0,1.0,4.0
104,104,3.0-9.png,2.0,3.0,4.0
105,105,0.5-1.png,1.0,2.0,4.0
106,106,4.5-8.png,3.0,2.0,4.0
107,107,2.0-9.png,4.0,2.0,4.0
108,108,2.5-5.png,3.0,3.0,2.0
109,109,2.5-8.png,4.0,4.0,3.0
